date,rating,content,sentence_count
2019.04.17,10,all is amazing. i cant describe anything. its a film that leads you to think about yourself and your plans in your life. i am a real seriesmovies lover and... this was awesome.,5
2014.11.07,7,not many directors have the clout of christopher nolan. most of them receive notes from their fretting studios suggestions or demands to change plot points or highlight certain charactersactors which must be adhered to for contractual or financial reasons. with huge intelligent blockbuster successes like the dark knight franchise and inception nolan has deservedly won carte blanche from warner bros. for interstellar  he gets garguantan sums of money and complete autonomy to realise his artistic vision. in effect hes making an indie movie on a blockbuster scale. ironically this lack of oversight might be just what keeps interstellar  a very good occasionally brilliant foray into the furthest reaches of our galaxy and beyond  from greatness. cooper matthew mcconaughey a former pilot and engineer is now reluctantly scraping together a living as a farmer on a starving earth. with sandstorms swirling and food supplies dwindling by the day it doesnt seem likely that coopers children stoic tom and inquisitive murphy will have much of a world left to inherit when they grow up. while investigating a ghost in murphys bedroom cooper deciphers a message that brings him to a topsecret nasa base. once there cooper learns from his former mentor dr brand michael caine that nasa is looking for solutions to earths crisis in other galaxies. a recentlyopened wormhole has given nasa and its scientists access to a whole new galaxy of planets. brand appeals to cooper to pilot the final and most important mission to determine whether any of three identified planets can truly host human life. but its a journey from which cooper might never return  one that will take him away from his kids and everything he has ever known and loved. thats not even the half of it  nolans narrative is a sprawling ambitious one that asks heavy metaphysical questions about the position and role of humanity in the universe filtered through the prism of a father and daughter whose bond transcends time and space. its shot through with complex scientific theories about wormholes and time travel courtesy of theoretical physicist kip thorne who served as a consultant on the film. indeed much of interstellar plays with such philosophical gravity that one cant help wondering if its simply too deep a subject to be effectively communicated in a movie that must also create emotional stakes and real characters. clocking in at almost three hours interstellar pulses with intelligence and occasional bursts of brilliance. the science and emotion of its story works best on each planet they manage to visit with nolan crafting some chillingly smart scifi moments amidst the human drama experienced by coopers crew. as badly as cooper wants to save enough fuel to make the return trip home amelia brand anne hathaway has both professional and personal stakes in visiting the planet thats furthest away from the wormhole. they trade hope for time the minutes they use to hunt for salvation translating into the loss of decades with their loved ones. the film is at its best when the members of the endurance  including david gyasis romilly and wes bentleys doyle  confront one another and establish contact or fail to do so with the scouting teams that preceded them through the wormhole. but interstellar also suffers from a bloated and faintly silly final act. the science of it may be wellfounded who knows after all what miraculous answers really do lie within a black hole? and the concept very cool but it doesnt quite translate as such. instead the film hyperblasts itself into a oddly cheerful and confusing ending that feels purely fictional and not at all scientific. theres no denying either that nolan could have carved half an hour or more out of interstellar without losing any of its narrative or emotional density. instead many scenes unfold in an almost obstinately languid fashion including a moment when cooper is left gasping for oxygen on the icy terrain of an alien planet. its pretty evident too that nolan really wanted to make sure his audiences knew how little greenscreen he used to make the film for no other discernible reason his camera lingers in extreme closeup  and far too often  on the exterior shells of the various spacecrafts designed for the film. nolan can afford the best when it comes to his cast as well and it shows. mcconaughey anchors the film with a gravitas and tenderness quite unknown before his career mcconnaissance and hes ably supported by a steely hathaway whose character just like the film shes in blends cold pragmatic science with a churning wealth of emotion. jessica chastain and matt damon in roles perhaps best left unspecified to avoid any explicit spoilers are excellent too  the former radiates quite enough warmth and intelligence to make us believe that she can save the world and the latter admirably treads in morally grey areas to good effect. for months before its release nolan kept interstellar firmly under wraps. everyone speculated that it would be a gamechanger  a sci fi blockbuster as thrilling and thoughtprovoking as it is entertaining. in some ways thats true of the final product nolans film is brave brainy filmmaking and it looks absolutely spectacular. but on closer examination interstellar loses some of its gloss and varnish  and beneath it all lies an unwieldy script that meanders a little too long and wastes a little too much of the big breathtaking ideas that underpin its story.,35
2014.11.11,5,so did i get this right? the essence of timespace relativity is that youre able to see a younger version of yourself from behind a bookcase and shout in vain that you shouldnt do what youre about to do?  yes thats how silly this movie is. interstellar is supposed to be a film exploring einsteins relativity theory. it shows how space travelers enter a wormhole to find new planets where they can find a future for mankind which is suffering from heat drought and hunger on planet earth. by doing so they enter a parallel time frame where one hour equals seven years on earth. the problem is that the film is tackling this subject in such a clumsy way that it makes you laugh rather than anything else.  take the robots that assist the space travelers during their voyage through time and space. are we really to believe that thinking computers in the future would take the form of clunky metal boxes assembled in such a way that they can walk on two legs? i would suppose an intelligent operating system for a smart phone or ipad would be much more convenient. in that respect her was much more realistic.  i could go on. how about a top scientist saying things like only love transcends time and space so why dont we put our trust in that? or how about handing the command of the space ship thats supposed to save the human race to a farmer who finds the secret launching pad by coincidence? and how about the only woman in the crew being in love with another space traveler who is lost somewhere on another planet?  apart from this there are several other things about this film i didnt like. the overthetop soundtrack filled with some sort of church organ music. the artificial dialogues mostly intended to explain unexplainable things. the numerous melodramatic and tearjerking scenes. the subtle message that love is superior to science. the countless scenes of the space ship shuddering and rattling as if it were a boeing flying through a patch of turbulence.  i had hoped this big budget production by a talented director like christopher nolan could appeal to non scifi fans like me. but i was disappointed.,23
2015.12.14,10,interstellar  review certain things in life are precious. very precious. and so was the film for me. why you might ask? well seldom do i get the chance where i find myself sitting in a cinema anxious and intrigued by what might come. in a time where trailers are omnipresent and going to the movies without having seen one seems unreasonable outright stupid to some i had the magical chance to find myself in front of the imax on a cold november night with 2 tickets to interstellar. my only knowledge was that nolan directed it and mcconaughey stars in it. the images were brilliant the acting was top notch and everything was blended together by hans zimmer and his music. 169 minutes flew by me with my eyes fixed on the screen and my heart racing. and there it was.. the ending. i couldnt believe it . i was reliving rethinking the movie while the credit scenes rolled enjoying the moment the smell of popcorn my comfortable seat and what do i see next to me? ninety percent of the people in the cinema rushing outside after the first second of the credit scenes.  ..  . well apparently people enjoy movies different than i do. maybe i should start watching trailers again .,16
2018.06.24,10,i hadnt seen this but movie and caught it on a flight back from the dr.  one of my favorite movies of all time. i would give the first half of the movie an 1110 just completely enjoyed it as a sci fi thrillerin the sense of so much always being on the line. i loved the acting and just yeah a great movie and one you should go see if you never have,4
2014.11.05,10,i have been a cinema lover for years read a lot of reviews on imdb and everywhere and never found the right movie to write my first review. i always thought i would wait for the movie. and this is it! when i first heard that nolan was preparing a scifi movie i felt like a kid again waiting for his christmas gift under the tree. i knew it would become a classic. and im sure it will. first of all it is incredibly beautiful to watch. honestly it was so beautiful that i felt like i was sucked into the movie. the way nolan decided to show some scenes really remind me of 2001 a space odyssey actually many things will probably remind you of this movie. we can feel the talent of christopher nolan just by looking at the way it is filmed. the techniques he used contribute to create that visual environment in a believable way. the sound environment is just mesmerizing. it is a very important part of the movie because some scenes take place in space and noland just found the right way to use sound. the soundtrack made by the great hans zimmer is breathtaking epic amazing unreal. i could find a lot more adjectives to qualify it but you have to hear it to understand how epic they are.  these two important parts image and sound create a stunning atmosphere. you will forget you are in a movie theater and you will be lost in space sucked into the adventures of this new space odyssey begging for more. it is a truly unique experience. i can say that i have never felt something like that in a movie theater at least not for the past ten years. then of course the cast. first of all matthew mcconaughey. i discovered this actor in tropic thunder but he didnt really convince me though he was quite funny. then i saw dallas buyers club. since that movie i love him. in this movie... well he is the movie. i exaggerate a bit since there are other great actors some even unexpected with a special guest who play extremely well. but he is just what was needed to feel the human part of the story which is very important in interstellar. he is capable of making us feel so many different emotions all along the story as a father as a human. anne hathaway was very convincing all together the actors managed to create some harmony which makes the human interactions credible. caine chastaing and affleck are a perfect choice. and then there is... the special guest i will call him x. his role which could be seen as a minor role is actually much more important than that. he proves once again that he is a great actor. watch and see. and finally the scenariostory. i wont spoil anything here ill just try to convince you how great it is. nolan is known to revolutionize everything when he tries a new genre in cinema. well once again he did it. with the dark knight he revolutionized the superhero genre. with interstellar hes revolutionizing the scifi genre in cinema. from what i heard he worked with a physicist in gravitational physics and astrophysics to help him with that movie. and we can feel and see it. during the fifties asimov laid the foundations of modern science fiction. lucas and kubrick did the same in cinema. today nolan is laying the new foundations of the genre in cinema proving that cinema is still at the beginning of what can be done brace yourselves my friends we have not seen anything yet.  why? well simply because we only know a few things about space some things cant be proved for the moment so we can use theory and make the best of it. that is exactly what nolan did. he used theories that exist today and made a movie about mankind about pioneers about humanity about us. because in spite of all the scifi aspect it is a story about humanity. mcconaughey hathaway and mainly x will managed to convince you about that. my rating for this movie can only be a 10 because in itself it is a beginning for a new kind of cinema. it is a classic. those who say we cant compare this movie to 2001 space odyssey nor can we compare nolan to kubrick are wrong. we can and we should. talented people dont live only in the past some genius live today among us. and nolan is one of them. many say that he is overrated. i truly dont think so. only time will answer that. this is the scifi movie of the decade and probably the best movie nolan ever made. just go for it without a second thought.,64
2020.08.28,10,there is not even a single day i dont think of this movie its scenes  it has a profound impact on me and it shall remain with me forever.,1
2016.01.27,9,set in a future where crop species are going extinct one after another former test pilot joseph cooper is now a farmer growing corn. his daughter murphey thinks there is a ghost in her room cooper doesnt believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. he goes to that location and finds himself at a nasa base where he learns of a secret programme to find another habitable world involving a wormhole discovered near saturn. he is asked to take part in a mission to find the best planet out of three orbiting a black hole each of which has a scientist who went on a one way mission sending data back. the plan is to find a world to transfer humanity to but if that is impossible there is a backup plan for the crew to raise the 5000 embryos stored aboard their ship. time is an issue as it moves at a different rate near the black hole this means that as hours pass for cooper years are passing back on earth. this film starts at a gentle pace gradually explaining what has happened to the earth before getting the mission to save the world started this means the separation of cooper and murphey is more emotional. once the mission is underway there is plenty of tension including some particularly gripping moments on the second planet they visit. the small cast does a fine job especially matthew mcconaughey who plays cooper anne hathaway who plays amelia brand a scientist aboard the mission and mackenzie foy and jessica chastain who play the younger and older murphey. the effects looked great as one would expect in a film from christopher nolan and i was pleased that space was depicted as silent something that is both scientifically correct but also more impressive. things do get a little confusing near the end but in a way that made me want to watch again rather than causing frustration. overall id recommend this to somebody looking for intelligent science fiction in the mould of 2001  a space odyssey although this has more emotion to it than that classic.,12
2019.10.06,10,this is a mankind achievement. the best movie ever made. is anyone has doubt?,3
2015.05.20,6,you would think the story is adventurous exciting beautiful! its not at all what i had hoped. it is slow dark as a black hole loud as an old barton theater organ playing fugue in d minor interesting as a litter box.  the story is thin.....i cant blame the actors the entire plot is pretty simple. cant inhabit earth find somewhere else to live. interstellar is a repeat of time continuum stories you have heard or seen before i wont spoil it but its all been told before.  dialog is dreary slow ponderous. the comparison to 2001 is preposterous. the wonder and awe of 2001 and other movies before it was it had never been done it was the first. 2001 was all done without the advanced technology we have in computer imagery we have today. 2001 was a pioneering effort. this is not at all pioneering inventive or surprising if you read science fiction at all.  the imagery is not all that unique or impressive. the constant thumping and droning of background music was mind numbing. most of the show i was trying to nod off but for the loud theater organ playing in the background i probably would have.  i have to agree with some of the reviewers who thought the whole show was ridiculous and in some ways they are right. somehow science has advanced enough to create interstellar space travel but not far enough to build power cells clean power they are still burning fossil fuels. the robots are lego like silly looking clunks of stainless steel....it is all so ridiculous.  i would not call this horrible or awful i have seen some real stinkers over the years. interstellar is not so ridiculous it is a parody of a good movie it is just not a great movie some had hoped it to be.,22
2014.11.01,10,the film begins by establishing at his own rhythm its ambitions men overexploited land resources which is why the only goal they have left is to survive. this life is not enough for cooper brilliantly played by mcconaughey who gave body and soul to this character. but all of this wouldnt hold without the total control of christopher nolan based on the languishing soundtrack by hans zimmer the luminous and impenetrable photography of hoyte van hoytema and the sincerity of nolans directing. he manages to film the characters and to find the right cut at the right time always in harmony with hans zimmers soundtrack to give the film an aspiring and inspiring dimension that went missing for many many years. thus we are transported into the same cockpit that cooper we feel the same remorse that he can already feel we feel the same gravity and we feel the same fear of the unknown melted with the force of his will. all of this is brilliantly illustrated in a very simple directing choice which from my point of view is the decisive impetus of the film to directly jump from when cooper leaves in his truck leaving his family behind him to endurance taking off. this simple editing decision allows nolan to give an original movement to his film and the musical crescendo makes us physically feel the sentimental break between two parts of the film. you dont necessarily have to understand it immediately  the film will raise questions in you such as  what is it to be a human being is there some physical limitations to our humanity how far could we be willing to go to determine knowledge is there other dimensions that we can not access to and above all what is the nature of this intact and immutable bond that unites us to others wherever we are in the universe ? is this bond only intelligible or is it also tangible ? all these questions resonate in harmony in nolans interstellar.  interstellar is itself a crescendo increasing sensitivity and creativity. i use the term deliberately because it goes crescendo with the soundtrack by hans zimmer which is one of the most beautiful music ever scored for a scifi movie. we are witnessing a perfect musical arrangement a total symbiosis a bit like the music of gravity which had understood very well how to match the image and the rhythm of a sequence to its own musicality. zimmers crescendos are giving a new powerful breath to every new scene whether it is in visually powerful  intense moments or in more intimate moments it intrudes into our momentary feelings and sensations and manages to extend them sometimes almost to choking before resting on the balance of the film frame along with our mind spellbounded.  i have seen all the talent of the director that i knew he was outside the norm but whom i did not know his capacity to reinvent itself. because this is it interstellar is not an action movie not really a blockbuster and it goes not entirely but mostly again the expectations of common people. its much more than that. this is much more than just a scifi movie. it is unlike any of his previous films. some hoped to see interstellar as christopher nolans best film and they were disappointed that this was not the case. and indeed this is not the best film of christopher nolan. because in a way it is his first film. im not saying that interstellar is not as good as his other films it goes beyond all of them. but to me interstellar is the first film of a new stage in nolans filmography  it is a masterpiece as it the beginning of a work ahead. interstellar is the proof that nolan has finally managed despite all the expectations that were placed on him after the success of the dark knight to move away from his own reputation to create a personal work original humble sincere and deeply meticulously measured. now in this third act of the film it all comes to life with unparalleled strength. nolan poses and answers questions that raise others. but he focuses his attention on the great mystery of love that emotional bond that can unite men and sometimes separate them. but nolan is the only one that can successfully speak of love from a being to another in a film that mainly takes place in a another galaxy. from my point of view only solaris by steven soderbergh 2002 unfortunately neglected by the audience was able to accomplish that. interstellar is based on a premise which is the following  from terrestrial dust to the depths of space and time we can never be separated from who we are as individuals and as a species as we always leave a part of ourselves behind us. in other words i could say that this is a human story and even if we go as far as we want to if we travel through the universe believing that we can be detached of the one we are fond of we will only get closer to them. because the separation and thus the distance and time can only ultimately reinforce the relationship between the people who really love each other. because it is going to the end of the world when we reach the end of ourselves that we reach the singularity of the black hole beyond the horizon   it is our humanity. no i wasnt been able to find any bad flaws in the film. not one and im still looking. after all interstellar is like gravity all it takes is a little push !  youll have to see the movie to figure that one out. flix tardieu november 1st 2014,39
2014.11.13,6,though i am not a batperson and do not wish to become one i have admired christopher nolan for his early films and inception though with the exception of insomnia i always regarded them as in the immortal words of andrew sarris less than meets the eye. i do not like to call films pretentious but with memento and inception the word certainly came to mind. they seemed shallow pretending to be deep. the same is in my opinion certainly true of interstellar. yes it carries you along for a ride and yes the special effects are great and yes it might give us pause to think what will in fact be the destiny of our species. but my dear mr nolan surely you must realise that our species will not survive by planting american flags on distant planets. and like gravity before it the search for a happy ending has totally destroyed any shred of credibility of what might have gone before. the image of cooper floating around saturn without his spaceship waiting to be picked up by a passing probe just before his oxygen runs out of course is so ridiculous that if stanley kubrick were to be told that it is a respectful reference to the starchild at the end of 2001 hed punch you in the nose.  interstellar  for all of its attempts to incorporate relativistic time dilation and very clever i do not use that word in a derogatory sense visual representation of multidimensional string theory towards the end is void of any real cultural insight. the film simply extends the wizard of oz into the space age and decides at the end that there is really somewhere better than home. it is tosh! great films tell us something memorable about the human condition or the nature of cinema itself. this film for all its quotes from dylan thomas does neither. it is for people who think that the word awesome has some profound meaning and not as is the case an excuse for not finding a more appropriate and restrained reaction.  any suggestion that it deserves a best picture oscar is a sad comment on the way that those awards have become debased in recent years.,15
2014.11.07,5,i do not know what kind of pr team the production team has hired to promote this film but obviously they are doing great job as it has already higher score than inception... seriously guys??? this film has 510 stars at best and even that for just potential. rest of it is lost because the film has absolutely no logic to it. stupid illogical and at times really boring and long. even though i am no scientist it was so stupid on so many levels with even the most basic of facts that i have no comments to this.... set your expectations low no way in hell does this film deserve any of that praise posted here....,7
2023.01.14,10,its difficult to put into words how powerful this film is. in fact id go as far to say as this is so much more than just a film. after watching this you somehow feel as if youve experienced a whole lifetime in a mere 3 hours. there isnt a single moment that goes unwasted everything is purposeful. this is a scifi film in which the fi part enables the film to convery so many powerful messages. it puts just the right amout of focus on science without trying too hard to explain or prove itself. to me one of the most powerful effects this film has left me with is the concept of impermanence. our time on this world is finite and we should cherish and embrace it as much as we can. the film also fiddles with the concept of time and uses it as an integral part of the plot. but perhaps the most powerful message of this film is of the human condition. yes as humans we have our shortcomings. but we can also show remarkable empathy dedication and ingenuity. i would be lying if i said i wasnt highly emotional while watching this film. in fact i found myself breaking into tears several times throughout the film. i know this review wasnt very analytical  i will say the following though this film is so immersive and well done that you forget youre watching a film. the acting is simply superb and believable at all times. reviewing this without talking about the audio and the music would be a great disservice. the film is accompanied by one of the most brilliant soundtracks. from a composition perspective it might seem that there isnt a lot going on in the music. but the power of the soundtrack is in its simplicity and the emotions it manages to evoke. i will end this review by saying that i truly think this film has made me a better person in some sense. it reminded me of how powerful humans can be and how we should use our finite time on this planet to care and be empathic towards each other and our planet.,22
2015.01.25,9,a team of explorers travel through a wormhole in an attempt to ensure humanitys survival. going into this i had mixed feelings because some have praised it others have panned it and some say it is good with reservations. there were allegedly issues with he sound in theaters and any number of other issues. then when we get to the oscars the film gets nominations in the technical fields but not in the top honors. this was wrong. maybe this is not the best role from matthew mcconaughey or anne hathaway. though the fact that a hathaway hater like myself enjoyed it should say something. and i think jessica chastain should have received a best supporting nomination. she easily outshines laura dern in wild. this may be the greatest ever film about physics.,10
2014.11.03,9,this is both a review of the film and an assertion of christopher nolans filmmaking style there have been many reviewers and critics alike that have high praise for the film the visual effects the acting the music but say how its not christopher nolans best directed film. this is where i personally would have to disagree. before i get into it though ill talk about interstellar a bit. interstellar is truly a scifi epic like no other. to compare said film to 2001 a space odyssey isnt just a disservice but unnecessary. the films are almost nothing alike simply sharing small plot elements. also stanley kubricks vision of arthur c. clarkes scifi epic wasnt to ponder the philosophical questions that accompanied the story but to make art and art is was and is. with interstellar mr. nolan set out to make his most personal and emotional film to date about love and time time being a recurring theme throughout all of nolans films. but its so much more than that too. there are no words to express the epic journey nolan takes us on in the film but needless to say its tearjerking and emotional throughout. the acting is topnotch especially mcconaughey who gives i would say his most emotional performance yet. but the actor who stole the show in a few scenes one in particular when theyre on an alien planet was david gyasi as romilly one of the astronauts aboard the endurance their spacecraft. the musical score from hans zimmer is without a doubt his best and most influential work to date helping drive the films bold and breathtaking vision the church organ helped significantly. the visual effects are easily the best to date as well and of the year. to see a black hole created through visual effects in such a way with pages theoretical equations provided by kip thorne theoretical physicist of whoms work inspired the films genesis what you see in the film is the most realistic depiction of a black hole and even offered new insight to accretion discs surrounding the anomalies. but even everything else from the alien planets to the endurance the visuals always look real. then theres the writing. i would definitely have to say this has some of the best dialogue ive ever heard in a scifi movie and the script continually pours or oozes emotion keeping the audience tethered to the film. now about mr. nolan. dont just look at nolan but look at his films. some say inception would be his masterpiece while others would say its the dark knight or memento. but honestly every single film christopher nolan has directed is a masterpiece not of its genre but of nolan. following is his quiet masterpiece not the film that put mr. nolan on the map as a phenomenal director but one people visited or revisited after becoming accustomed to nolan after seeing memento what could be called his breakout masterpiece. then right after he directed the remake of the norwegian thriller insomnia. this too could be considered a masterpiece even if a remake. then we were given his take on the batman universe starting with batman begins the origin masterpiece. then theres the prestige adapted from the novel of the same name which can be called his dark masterpiece. the dark knight his bold masterpiece inception his complex masterpiece and the dark knight rises his flawed masterpiece. now we have interstellar his emotional or personal masterpiece. this is just my looking at nolan and his films but whatever your thoughts are you cant deny interstellar is one hell of a journey. he certainly is one of the best filmmakers of our time and of all time. i cant wait to see what he does next but im not sure it will be as emotionally powerful as interstellar.,36
2022.12.26,10,the fate of humanity rests in the hands of a small number of nasa pilots who travel through a work hole in search of a new home. ive only watched it for the second time the first being when it first arrived on the big screen. my opinion hasnt altered since the viewing its an epic masterpiece the story holds up remarkably well but the acting and visuals all contribute to make this film something very special. the story is remarkably good its cohesive well balanced it makes sense. matthew mcconaugheys best film role still for me hes awesome as the lead character superbly supported by both anne hathaway and michael caine it really is a well made epic. the visuals the special effects are all tremendous and have held up as the years have gone past it remains one of the most incredibly beautiful visual films of all time. epic 1010.,7
